08:16:51.412 Temperature_(C): 20.10, Humidity_(%): 81.80, VOC_(PPM): 148.57, CO2_(PPM): 862.00, PM1.0_(ug/m3): 11, PM2.5_(ug/m3): 24, PM10_(ug/m3): 24
08:16:52.321 Temperature_(C): 20.00, Humidity_(%): 81.60, VOC_(PPM): 117.38, CO2_(PPM): 862.00, PM1.0_(ug/m3): 10, PM2.5_(ug/m3): 24, PM10_(ug/m3): 26
08:16:53.260 Temperature_(C): 20.00, Humidity_(%): 81.60, VOC_(PPM): 170.57, CO2_(PPM): 863.00, PM1.0_(ug/m3): 10, PM2.5_(ug/m3): 24, PM10_(ug/m3): 25
08:16:54.174 Temperature_(C): 20.00, Humidity_(%): 81.30, VOC_(PPM): 106.44, CO2_(PPM): 864.00, PM1.0_(ug/m3): 9, PM2.5_(ug/m3): 21, PM10_(ug/m3): 24
08:16:55.086 Temperature_(C): 20.00, Humidity_(%): 81.30, VOC_(PPM): 117.58, CO2_(PPM): 865.00, PM1.0_(ug/m3): 11, PM2.5_(ug/m3): 22, PM10_(ug/m3): 24
08:16:55.996 Temperature_(C): 20.10, Humidity_(%): 80.50, VOC_(PPM): 101.54, CO2_(PPM): 865.00, PM1.0_(ug/m3): 11, PM2.5_(ug/m3): 22, PM10_(ug/m3): 24
08:16:56.905 Temperature_(C): 20.10, Humidity_(%): 80.50, VOC_(PPM): 109.55, CO2_(PPM): 866.00, PM1.0_(ug/m3): 7, PM2.5_(ug/m3): 20, PM10_(ug/m3): 21
08:16:57.839 Temperature_(C): 20.10, Humidity_(%): 80.40, VOC_(PPM): 96.49, CO2_(PPM): 867.00, PM1.0_(ug/m3): 6, PM2.5_(ug/m3): 16, PM10_(ug/m3): 18
08:16:58.748 Temperature_(C): 20.10, Humidity_(%): 80.40, VOC_(PPM): 104.22, CO2_(PPM): 867.00, PM1.0_(ug/m3): 4, PM2.5_(ug/m3): 14, PM10_(ug/m3): 16
08:16:59.686 Temperature_(C): 20.10, Humidity_(%): 80.40, VOC_(PPM): 84.55, CO2_(PPM): 867.00, PM1.0_(ug/m3): 3, PM2.5_(ug/m3): 12, PM10_(ug/m3): 14
08:17:00.600 Temperature_(C): 20.00, Humidity_(%): 80.00, VOC_(PPM): 96.82, CO2_(PPM): 867.00, PM1.0_(ug/m3): 3, PM2.5_(ug/m3): 11, PM10_(ug/m3): 13
08:17:01.513 Temperature_(C): 20.00, Humidity_(%): 80.00, VOC_(PPM): 107.25, CO2_(PPM): 866.00, PM1.0_(ug/m3): 3, PM2.5_(ug/m3): 10, PM10_(ug/m3): 11
08:17:02.428 Temperature_(C): 20.10, Humidity_(%): 79.50, VOC_(PPM): 99.54, CO2_(PPM): 865.00, PM1.0_(ug/m3): 3, PM2.5_(ug/m3): 11, PM10_(ug/m3): 12
08:17:03.295 Temperature_(C): 20.10, Humidity_(%): 79.50, VOC_(PPM): 143.76, CO2_(PPM): 865.00, PM1.0_(ug/m3): 3, PM2.5_(ug/m3): 11, PM10_(ug/m3): 12
08:17:04.139 Temperature_(C): 20.00, Humidity_(%): 79.20, VOC_(PPM): 97.27, CO2_(PPM): 865.00, PM1.0_(ug/m3): 3, PM2.5_(ug/m3): 11, PM10_(ug/m3): 12
08:17:05.041 Temperature_(C): 20.00, Humidity_(%): 79.20, VOC_(PPM): 102.42, CO2_(PPM): 865.00, PM1.0_(ug/m3): 3, PM2.5_(ug/m3): 9, PM10_(ug/m3): 11
08:17:05.975 Temperature_(C): 19.90, Humidity_(%): 79.10, VOC_(PPM): 89.63, CO2_(PPM): 865.00, PM1.0_(ug/m3): 3, PM2.5_(ug/m3): 9, PM10_(ug/m3): 11
08:17:06.887 Temperature_(C): 19.90, Humidity_(%): 79.10, VOC_(PPM): 96.97, CO2_(PPM): 864.00, PM1.0_(ug/m3): 3, PM2.5_(ug/m3): 8, PM10_(ug/m3): 9
